id,employee_id,sale_amount,sale_date
119,12,33350,2026-02-03
120,432,34661,2026-01-01
121,428,26463,2026-04-24
122,212,22886,2026-02-05
123,79,38370,2026-05-14
124,65,13348,2026-02-19
125,183,19096,2026-02-23
126,441,27046,2026-01-21
127,351,37375,2026-03-05
128,412,28528,2026-02-12
129,372,46547,2026-02-25
130,248,44654,2026-05-02
131,399,28091,2026-03-16
132,154,44328,2026-02-08
133,252,12774,2026-05-19
134,497,5163,2026-05-29
135,191,46674,2026-01-20
136,399,17251,2026-04-19
137,289,37419,2026-04-13
138,36,5987,2026-06-07
139,200,12978,2026-06-08
140,202,3181,2026-04-10
141,198,49616,2026-03-11
142,315,6614,2026-02-13
143,450,14029,2026-01-11
144,473,46297,2026-01-11
145,22,2649,2026-05-24
146,117,28850,2026-06-02
147,88,26228,2026-03-17
148,364,8745,2026-03-07
149,255,26701,2026-06-17
150,244,19943,2026-01-26
151,158,30231,2026-02-12
152,353,6099,2026-04-15
153,171,21778,2026-04-09
154,32,20951,2026-01-25
155,118,3516,2026-02-25
156,433,47299,2026-03-03
157,339,2779,2026-03-25
158,332,24236,2026-05-08
159,136,39323,2026-02-22
160,393,34124,2026-03-31
161,189,28601,2026-02-25
162,172,4155,2026-05-04
163,7,8983,2026-01-21
164,275,6249,2026-04-07
165,439,27191,2026-05-29
166,262,29549,2026-02-22
167,316,40912,2026-05-08
168,286,35597,2026-04-08
169,347,18750,2026-01-27
170,364,35827,2026-02-10
171,362,40855,2026-04-04
172,272,3629,2026-03-12
173,143,49622,2026-03-07
174,243,36538,2026-06-10
175,314,19623,2026-04-17
176,453,30346,2026-05-24
177,303,36691,2026-01-28
178,71,34176,2026-01-05
179,131,14565,2026-03-08
180,475,41935,2026-05-21
181,225,31399,2026-01-08
182,82,24010,2026-02-15
183,454,5495,2026-04-10
184,321,30681,2026-05-09
185,274,37014,2026-05-06
186,391,6632,2026-04-29
187,292,34481,2026-05-29
188,453,43505,2026-03-02
189,47,45992,2026-03-25
190,392,13543,2026-01-30
191,450,48777,2026-04-07
192,200,33075,2026-04-15
193,245,24862,2026-02-07
194,388,13883,2026-05-13
195,114,32298,2026-01-25
196,208,46153,2026-03-30
197,476,6477,2026-01-02
198,395,7648,2026-03-10
199,331,10469,2026-05-27
200,482,10634,2026-06-12
201,113,19392,2026-02-28
202,50,19225,2026-01-19
203,150,26557,2026-06-10
204,193,34970,2026-01-29
205,414,36847,2026-06-10
206,60,24637,2026-02-01
207,354,5408,2026-03-23
208,203,19341,2026-03-10
209,310,38915,2026-01-27
210,324,14298,2026-01-27
211,463,8030,2026-03-20
212,471,34760,2026-06-08
213,422,48912,2026-05-09
214,168,20144,2026-06-02
215,493,24037,2026-04-01
216,212,30050,2026-02-02
217,365,42413,2026-01-24
218,139,12123,2026-01-24
219,416,18401,2026-02-04
220,498,25779,2026-04-26
221,483,20003,2026-03-07
222,404,1748,2026-05-21
223,399,31646,2026-03-12
224,172,20441,2026-01-27
225,92,40155,2026-03-21
226,129,33676,2026-01-27
227,45,18911,2026-01-02
228,208,30485,2026-06-07
229,210,6639,2026-01-05
230,216,28471,2026-03-26
231,308,16330,2026-06-01
232,170,25556,2026-01-28
233,348,49637,2026-01-04
234,471,16601,2026-05-02
235,309,32456,2026-01-26
236,498,29181,2026-02-05
237,111,19936,2026-03-15
238,280,38153,2026-01-20
239,57,39299,2026-02-01
240,70,30787,2026-05-06
241,220,1765,2026-02-21
242,20,17571,2026-04-26
243,256,7074,2026-05-19
244,159,14589,2026-02-27
245,482,45375,2026-04-24
246,293,13939,2026-06-14
247,249,12133,2026-03-05
248,303,41317,2026-02-04
249,373,1898,2026-01-05
250,361,22395,2026-02-17
251,79,23983,2026-06-14
252,13,26499,2026-02-18
253,340,14089,2026-04-16
254,251,47554,2026-02-09
255,302,30291,2026-05-25
256,69,15697,2026-01-19
257,83,18792,2026-05-30
258,205,22642,2026-05-31
259,34,27570,2026-01-06
260,74,35009,2026-06-07
261,492,48283,2026-02-19
262,28,8318,2026-04-06
263,255,25284,2026-01-06
264,34,16994,2026-03-13
265,365,8438,2026-01-13
266,172,31390,2026-03-15
267,365,21089,2026-05-15
268,382,20492,2026-05-17
269,251,44345,2026-06-11
270,108,16877,2026-01-13
271,312,40500,2026-06-05
272,330,28314,2026-01-29
273,490,9031,2026-01-25
274,267,17449,2026-03-24
275,261,47244,2026-04-10
276,452,10500,2026-05-21
277,455,18888,2026-02-02
278,264,48030,2026-02-19
279,457,33111,2026-02-16
280,431,4935,2026-05-27
281,323,26555,2026-06-12
282,444,27465,2026-05-05
283,129,31806,2026-04-17
284,440,48778,2026-03-06
285,2,37138,2026-01-22
286,404,36661,2026-05-02
287,117,1741,2026-05-01
288,455,2621,2026-05-12
289,483,11160,2026-05-24
290,234,18655,2026-01-18
291,138,36460,2026-04-29
292,77,5001,2026-05-07
293,479,9135,2026-04-22
294,219,7923,2026-01-08
295,487,48938,2026-02-06
296,219,3871,2026-06-12
297,489,37209,2026-06-10
298,246,3276,2026-03-13
299,358,42096,2026-05-07
300,453,9817,2026-01-12
301,79,1778,2026-05-14
302,398,28575,2026-05-31
303,489,47463,2026-02-19
304,129,13365,2026-05-28
305,149,14607,2026-01-24
306,168,44834,2026-06-08
307,178,29925,2026-06-09
308,321,39858,2026-04-29
309,295,28669,2026-03-27
310,198,46442,2026-03-06
311,415,23177,2026-02-14
312,5,31678,2026-03-29
313,393,24693,2026-01-03
314,289,6171,2026-04-17
315,394,37567,2026-06-05
316,145,49602,2026-01-15
317,73,9393,2026-03-02
318,478,48552,2026-03-30
319,44,13068,2026-04-19
320,27,9202,2026-06-08
321,123,9493,2026-04-16
322,23,26022,2026-02-09
323,414,6934,2026-04-07
324,276,21827,2026-02-22
325,43,38712,2026-03-01
326,7,40211,2026-04-28
327,420,17346,2026-04-05
328,394,9659,2026-03-03
329,460,31244,2026-03-23
330,149,39295,2026-06-01
331,337,23617,2026-02-25
332,304,48814,2026-03-02
333,361,4030,2026-04-10
334,103,21160,2026-04-04
335,257,38987,2026-03-27
336,125,36333,2026-03-11
337,151,34933,2026-05-29
338,456,30060,2026-02-20
339,479,21611,2026-04-05
340,137,39288,2026-04-08
341,166,35994,2026-02-15
342,112,24912,2026-01-16
343,421,31908,2026-02-06
344,119,40435,2026-01-02
345,428,17598,2026-02-13
346,277,43146,2026-01-05
347,206,33732,2026-06-15
348,403,21701,2026-05-28
349,384,26653,2026-05-22
350,238,34581,2026-03-08
351,246,27851,2026-04-19
352,43,28392,2026-02-26
353,324,34375,2026-02-07
354,12,21131,2026-02-03
355,149,39207,2026-02-14
356,212,9987,2026-05-26
357,7,2173,2026-02-19
358,441,24721,2026-03-03
359,119,31354,2026-01-14
360,19,29214,2026-03-24
361,162,27381,2026-04-05
362,479,24056,2026-02-19
363,182,28341,2026-01-27
364,293,7470,2026-02-14
365,302,5733,2026-04-26
366,232,37807,2026-04-19
367,428,49876,2026-02-21
368,164,21862,2026-01-17
369,5,48709,2026-05-10
370,15,8485,2026-06-08
371,220,37434,2026-03-31
372,322,18756,2026-01-16
373,345,14622,2026-01-22
374,142,25026,2026-03-23
375,189,46730,2026-05-04
376,42,28213,2026-02-05
377,40,4623,2026-01-24
378,117,38527,2026-01-02
379,146,19731,2026-02-22
380,452,25071,2026-03-21
381,15,24663,2026-05-17
382,203,43502,2026-06-14
383,80,43342,2026-03-08
384,56,42398,2026-05-15
385,241,21511,2026-01-31
386,210,16454,2026-01-18
387,112,12674,2026-03-21
388,39,4939,2026-03-09
389,259,12895,2026-02-03
390,420,4814,2026-01-22
391,435,49606,2026-02-10
392,286,11272,2026-02-18
393,464,41408,2026-04-27
394,438,10766,2026-03-11
395,149,9511,2026-05-12
396,36,39640,2026-01-15
397,46,37605,2026-03-14
398,207,20507,2026-01-07
399,340,32800,2026-05-24
400,478,30909,2026-01-13
401,212,1238,2026-04-27
402,225,31550,2026-05-27
403,207,47460,2026-03-05
404,324,30674,2026-04-12
405,186,18052,2026-01-21
406,234,18082,2026-01-17
407,219,46326,2026-04-09
408,451,20260,2026-03-24
409,243,43213,2026-03-19
410,329,2162,2026-02-20
411,109,19662,2026-03-21
412,460,18451,2026-05-30
413,471,44062,2026-01-23
414,54,17163,2026-06-04
415,183,12267,2026-04-03
416,249,26172,2026-01-18
417,239,21872,2026-03-10
418,238,18491,2026-05-19
419,231,40174,2026-02-02
420,254,1241,2026-01-03
421,124,18523,2026-05-30
422,36,12635,2026-03-25
423,282,22407,2026-02-03
424,428,8847,2026-05-01
425,462,22515,2026-01-22
426,279,30310,2026-05-28
427,361,18898,2026-02-15
428,93,17123,2026-02-20
429,278,25320,2026-06-11
430,55,21569,2026-06-11
431,340,11344,2026-02-15
432,409,4177,2026-03-27
433,159,19840,2026-02-08
434,323,46229,2026-04-13
435,399,49111,2026-03-30
436,70,44229,2026-03-15
437,152,36070,2026-04-12
438,141,4261,2026-06-18
439,62,39175,2026-03-07
440,317,31650,2026-01-18
441,149,38561,2026-06-05
442,331,42315,2026-01-14
443,487,18698,2026-01-19
444,37,37762,2026-04-02
445,66,2024,2026-02-14
446,408,37410,2026-03-01
447,49,10633,2026-06-01
448,229,36698,2026-05-29
449,229,33368,2026-01-16
450,235,9106,2026-06-12
451,57,20695,2026-01-25
452,86,25321,2026-06-05
453,265,36423,2026-01-19
454,186,38450,2026-05-28
455,341,38669,2026-01-14
456,312,48764,2026-01-05
457,469,45478,2026-01-02
458,388,42789,2026-02-08
459,130,28183,2026-04-08
460,288,32677,2026-01-11
461,181,17810,2026-05-30
462,150,16836,2026-01-04
463,495,38498,2026-03-13
464,353,22859,2026-02-22
465,87,41489,2026-04-19
466,66,5164,2026-05-29
467,419,14796,2026-02-25
468,140,45338,2026-03-21
469,51,49611,2026-03-19
470,408,43546,2026-02-03
471,347,46682,2026-04-15
472,196,34367,2026-01-23
473,471,37311,2026-03-24
474,118,10197,2026-02-08
475,23,36955,2026-06-02
476,500,42207,2026-04-10
477,260,41783,2026-03-12
478,405,3049,2026-01-09
479,81,14950,2026-05-29
480,31,30248,2026-01-07
481,433,22852,2026-03-09
482,462,28338,2026-01-25
483,179,26269,2026-04-21
484,464,40429,2026-01-08
485,148,46977,2026-05-10
486,478,47482,2026-05-01
487,329,26020,2026-03-31
488,256,2767,2026-04-02
489,9,27111,2026-05-18
490,234,45505,2026-03-22
491,475,27303,2026-01-06
492,246,30042,2026-03-07
493,283,3406,2026-01-07
494,421,38548,2026-02-08
495,296,28731,2026-04-19
496,336,17753,2026-01-27
497,389,3469,2026-02-22
498,94,46181,2026-02-11
499,453,44396,2026-04-07
500,20,29635,2026-01-11
501,452,39289,2026-06-17
502,101,21581,2026-04-30
503,209,45048,2026-05-23
504,308,25442,2026-06-04
505,269,39628,2026-01-22
506,458,13747,2026-05-11
507,244,31804,2026-01-05
508,416,46860,2026-05-31
509,452,20976,2026-05-25
510,47,46955,2026-04-08
511,241,12343,2026-02-16
512,141,22404,2026-05-11
513,130,15342,2026-03-31
514,271,18899,2026-05-12
515,432,5236,2026-06-01
516,100,8172,2026-05-13
517,380,24481,2026-03-20
518,279,2073,2026-05-08
519,304,22920,2026-05-28
520,364,3275,2026-06-01
521,7,21694,2026-01-22
522,67,13189,2026-01-24
523,352,9369,2026-01-26
524,487,18087,2026-04-24
525,401,12193,2026-01-03
526,118,49049,2026-05-17
527,74,44424,2026-01-11
528,280,8848,2026-04-07
529,319,3452,2026-02-10
530,419,14325,2026-05-17
531,8,25689,2026-06-14
532,385,15706,2026-04-24
533,341,47937,2026-06-08
534,60,38258,2026-03-31
535,58,38922,2026-06-12
536,186,30587,2026-03-29
537,126,24759,2026-05-12
538,328,13470,2026-04-10
539,118,26123,2026-03-04
540,124,9385,2026-01-20
541,140,2519,2026-03-31
542,388,28092,2026-06-02
543,232,25650,2026-06-07
544,50,24519,2026-05-08
545,333,25538,2026-02-12
546,175,40613,2026-02-02
547,266,47512,2026-04-11
548,8,11670,2026-02-14
549,439,17160,2026-03-08
550,425,7804,2026-04-10
551,416,25179,2026-02-12
552,90,1990,2026-01-08
553,98,13694,2026-02-12
554,241,5360,2026-01-17
555,127,9563,2026-02-24
556,113,41059,2026-06-07
557,424,40812,2026-05-18
558,40,19843,2026-03-07
559,433,44051,2026-04-21
560,303,28553,2026-02-28
561,54,1625,2026-04-02
562,286,5959,2026-02-04
563,119,34335,2026-03-27
564,107,7045,2026-04-18
565,434,26716,2026-01-29
566,310,24717,2026-05-17
567,349,44839,2026-01-09
568,31,6550,2026-05-04
569,391,32977,2026-04-29
570,202,1882,2026-02-26
571,274,23845,2026-05-15
572,28,7907,2026-06-04
573,256,28335,2026-04-12
574,96,43468,2026-03-20
575,231,16851,2026-01-27
576,440,40693,2026-02-18
577,416,42235,2026-05-28
578,120,24622,2026-03-28
579,296,39285,2026-06-06
580,164,12126,2026-05-24
581,71,39458,2026-05-08
582,397,35432,2026-05-01
583,261,44938,2026-04-06
584,66,35394,2026-02-09
585,105,18961,2026-04-05
586,143,13239,2026-04-19
587,338,47501,2026-01-13
588,288,18243,2026-01-31
589,459,12333,2026-02-11
590,461,22030,2026-05-17
591,497,20558,2026-02-13
592,425,41825,2026-02-27
593,140,5182,2026-01-21
594,162,48029,2026-03-10
595,58,24278,2026-05-23
596,340,26551,2026-05-06
597,159,14670,2026-06-02
598,489,13225,2026-05-31
599,244,33547,2026-02-18
600,168,45223,2026-02-05
601,139,6006,2026-06-06
602,325,35924,2026-01-09
603,426,14192,2026-02-28
604,144,32997,2026-01-28
605,458,25889,2026-03-01
606,413,39401,2026-01-21
607,54,27444,2026-01-23
608,471,24935,2026-06-11
609,263,43473,2026-06-17
610,116,3882,2026-06-13
611,164,8003,2026-01-25
612,167,6728,2026-04-14
613,169,5227,2026-01-25
614,430,12714,2026-05-28
615,137,29610,2026-03-18
616,478,42915,2026-01-18
617,182,47765,2026-04-24
618,359,43257,2026-02-05
619,417,26659,2026-01-05
620,178,47466,2026-04-12
621,449,32409,2026-03-31
622,270,28239,2026-04-23
623,103,41027,2026-02-20
624,237,26748,2026-04-10
625,499,17392,2026-04-28
626,443,8300,2026-04-12
627,430,42600,2026-06-11
628,414,1997,2026-02-04
629,154,47765,2026-02-27
630,56,30731,2026-06-03
631,288,39964,2026-06-09
632,152,37108,2026-01-06
633,269,20578,2026-02-19
634,204,36515,2026-05-23
635,405,5281,2026-02-24
636,473,20550,2026-05-17
637,369,32545,2026-04-24
638,18,21366,2026-04-10
639,210,33714,2026-06-11
640,322,24739,2026-03-24
641,110,21027,2026-05-27
642,407,30864,2026-04-11
643,140,39741,2026-02-06
644,415,14440,2026-01-26
645,4,1416,2026-06-10
646,12,5602,2026-02-06
647,176,16767,2026-05-02
648,441,7509,2026-06-05
649,216,40151,2026-04-23
650,486,40549,2026-04-10
651,325,26554,2026-01-27
652,208,18862,2026-04-10
653,32,34176,2026-06-04
654,233,47156,2026-06-05
655,497,5852,2026-02-23
656,365,37602,2026-06-01
657,462,28119,2026-05-28
658,92,25405,2026-01-11
659,382,32656,2026-01-17
660,220,25394,2026-03-31
661,433,45345,2026-04-13
662,424,14731,2026-02-15
663,43,13065,2026-04-18
664,435,26713,2026-05-08
665,134,40715,2026-04-06
666,496,5647,2026-05-19
667,235,47133,2026-01-13
668,308,41543,2026-02-06
669,193,2133,2026-01-11
670,9,37289,2026-06-02
671,62,18139,2026-02-10
672,408,16469,2026-01-04
673,177,20929,2026-06-02
674,98,47522,2026-05-26
675,84,44359,2026-01-10
676,435,36410,2026-04-21
677,440,47975,2026-02-10
678,491,45233,2026-03-29
679,466,41330,2026-04-30
680,492,25852,2026-05-08
681,93,10476,2026-03-03
682,492,29693,2026-05-17
683,180,28837,2026-03-22
684,324,35473,2026-03-28
685,86,4942,2026-03-13
686,306,36298,2026-01-01
687,276,4339,2026-01-05
688,178,47963,2026-05-19
689,383,25005,2026-01-02
690,439,22072,2026-02-10
691,319,1404,2026-03-25
692,344,9943,2026-04-23
693,115,30221,2026-02-25
694,403,40692,2026-03-27
695,100,17220,2026-05-06
696,321,10074,2026-02-23
697,481,43379,2026-03-26
698,299,38415,2026-01-12
699,464,47834,2026-04-12
700,237,46095,2026-04-20
701,246,48421,2026-06-02
702,360,25978,2026-01-21
703,306,38688,2026-06-04
704,18,32161,2026-02-16
705,421,36979,2026-01-29
706,2,34563,2026-03-04
707,186,36253,2026-02-21
708,453,43980,2026-01-01
709,459,4887,2026-05-05
710,99,37756,2026-01-07
711,368,16373,2026-03-16
712,491,39399,2026-05-16
713,227,5919,2026-05-09
714,300,4708,2026-04-26
715,157,46565,2026-02-18
716,485,49955,2026-03-27
717,102,18412,2026-04-02
718,150,3755,2026-02-20
719,453,43152,2026-03-30
720,417,35488,2026-06-11
721,148,42234,2026-03-22
722,178,40509,2026-03-11
723,273,23280,2026-05-26
724,474,38607,2026-05-31
725,95,5176,2026-02-12
726,229,18387,2026-03-09
727,34,16141,2026-04-28
728,423,36151,2026-03-14
729,435,2392,2026-05-26
730,137,45037,2026-01-07
731,69,9309,2026-03-09
732,103,36593,2026-01-14
733,66,11531,2026-04-29
734,193,20904,2026-01-09
735,228,34860,2026-03-31
736,238,26407,2026-04-06
737,438,14286,2026-03-23
738,449,37358,2026-03-18
739,475,38644,2026-02-26
740,11,11691,2026-05-15
741,478,28428,2026-05-24
742,280,8860,2026-03-21
743,96,42040,2026-02-05
744,158,23375,2026-04-04
745,34,21523,2026-01-24
746,198,13919,2026-04-12
747,196,43396,2026-05-10
748,214,31795,2026-03-25
749,442,7410,2026-05-16
750,215,12311,2026-05-02
751,231,25594,2026-05-17
752,120,46527,2026-06-14
753,261,12742,2026-01-10
754,438,2537,2026-05-01
755,450,47701,2026-03-14
756,341,23305,2026-01-28
757,186,17674,2026-04-28
758,153,5569,2026-05-20
759,455,30940,2026-05-15
760,406,30481,2026-01-16
761,13,17053,2026-04-08
762,164,21812,2026-03-01
763,11,11701,2026-06-13
764,15,27217,2026-03-12
765,86,42615,2026-03-14
766,430,39267,2026-01-31
767,154,28663,2026-05-07
768,12,1374,2026-04-14
769,107,15108,2026-04-17
770,467,15882,2026-02-05
771,272,46153,2026-01-28
772,72,38908,2026-02-08
773,292,27315,2026-02-28
774,143,36335,2026-06-10
775,313,14130,2026-05-28
776,145,45649,2026-03-07
777,175,24634,2026-01-27
778,332,45131,2026-05-03
779,71,44676,2026-01-19
780,13,49390,2026-05-17
781,348,30274,2026-03-05
782,152,8664,2026-01-03
783,296,33258,2026-03-22
784,23,12208,2026-01-28
785,414,19384,2026-06-07
786,272,30831,2026-01-15
787,426,27655,2026-03-11
788,53,28782,2026-04-10
789,500,2606,2026-02-08
790,87,40079,2026-02-20
791,218,3026,2026-01-14
792,2,29285,2026-01-15
793,213,40733,2026-03-12
794,409,11587,2026-03-20
795,165,23787,2026-01-26
796,326,15216,2026-01-05
797,350,29165,2026-05-09
798,157,28922,2026-04-28
799,256,43365,2026-04-26
800,322,36540,2026-01-30
801,325,25632,2026-02-25
802,9,20001,2026-03-12
803,266,27230,2026-03-15
804,394,44378,2026-03-10
805,267,13888,2026-05-16
806,180,20233,2026-06-13
807,246,18836,2026-04-06
808,126,21730,2026-02-20
809,10,28789,2026-06-02
810,114,29461,2026-02-08
811,192,34083,2026-04-21
812,375,10768,2026-04-25
813,347,30178,2026-05-06
814,94,18009,2026-02-10
815,124,15383,2026-02-26
816,442,41711,2026-06-16
817,483,43266,2026-05-08
818,488,38135,2026-03-25
819,368,40490,2026-03-25
820,239,43139,2026-02-22
821,19,2992,2026-02-06
822,428,34002,2026-01-23
823,353,5625,2026-01-01
824,70,33171,2026-02-03
825,272,9902,2026-01-19
826,235,17437,2026-05-01
827,422,8792,2026-02-21
828,204,44118,2026-05-05
829,420,32065,2026-03-02
830,146,16611,2026-04-04
831,378,1248,2026-05-05
832,258,48260,2026-04-08
833,315,12550,2026-04-16
834,302,45769,2026-02-07
835,350,6668,2026-03-20
836,171,33791,2026-03-18
837,176,17061,2026-04-24
838,67,20436,2026-05-19
839,306,11225,2026-01-15
840,306,29965,2026-02-22
841,184,17135,2026-04-08
842,378,10027,2026-01-23
843,164,12766,2026-02-01
844,426,19696,2026-01-10
845,203,36884,2026-03-23
846,305,12357,2026-01-31
847,475,28565,2026-03-05
848,185,6209,2026-02-03
849,487,15841,2026-01-01
850,496,4112,2026-04-15
851,476,34609,2026-03-07
852,462,29350,2026-05-22
853,455,44786,2026-02-04
854,204,30301,2026-02-28
855,125,31323,2026-05-14
856,407,12234,2026-01-09
857,249,47576,2026-04-29
858,434,9900,2026-04-02
859,460,5162,2026-02-20
860,64,34683,2026-05-01
861,481,47292,2026-02-24
862,36,48783,2026-04-01
863,461,5925,2026-03-30
864,463,43923,2026-03-31
865,289,35396,2026-06-11
866,65,27158,2026-06-03
867,345,18365,2026-05-06
868,472,40824,2026-02-08
869,174,8468,2026-02-25
870,56,28667,2026-04-18
871,171,11047,2026-01-19
872,235,38343,2026-02-27
873,488,16457,2026-03-01
874,322,10402,2026-02-16
875,119,15938,2026-05-10
876,331,29167,2026-02-16
877,269,26815,2026-05-26
878,103,28071,2026-02-19
879,54,45982,2026-02-25
880,171,6771,2026-03-01
881,94,4811,2026-06-11
882,81,28230,2026-03-14
883,6,4017,2026-05-30
884,441,35117,2026-01-28
885,109,25995,2026-05-31
886,484,10391,2026-04-13
887,427,44803,2026-02-03
888,333,34228,2026-01-28
889,472,31019,2026-05-25
890,475,40549,2026-03-29
891,448,1190,2026-04-12
892,452,36430,2026-01-31
893,298,27050,2026-04-21
894,440,39318,2026-04-27
895,251,26465,2026-03-02
896,91,18893,2026-02-01
897,63,22678,2026-04-29
898,289,27890,2026-05-26
899,214,43210,2026-03-27
900,165,6315,2026-05-26
901,206,15031,2026-04-12
902,178,22633,2026-02-11
903,252,38808,2026-05-31
904,168,26791,2026-04-01
905,121,7256,2026-04-26
906,463,17536,2026-02-04
907,84,25082,2026-06-03
908,143,28644,2026-03-28
909,27,8090,2026-04-07
910,74,4543,2026-04-01
911,432,36999,2026-03-04
912,187,42207,2026-02-24
913,97,48885,2026-06-01
914,489,2436,2026-03-24
915,235,4312,2026-02-11
916,234,9970,2026-04-05
917,207,37910,2026-02-23
918,471,38834,2026-03-20
919,90,22320,2026-02-20
920,115,23298,2026-03-05
921,435,12374,2026-01-19
922,314,47403,2026-03-31
923,448,6732,2026-01-24
924,135,24243,2026-06-07
925,229,36559,2026-06-04
926,226,12553,2026-05-18
927,425,19935,2026-04-25
928,166,23163,2026-04-22
929,306,13402,2026-01-06
930,238,22305,2026-02-20
931,118,49949,2026-05-26
932,304,39276,2026-02-08
933,450,43006,2026-03-25
934,240,3625,2026-04-29
935,353,49764,2026-05-09
936,412,37222,2026-01-16
937,453,7878,2026-04-08
938,426,49394,2026-02-28
939,191,39000,2026-03-09
940,347,32016,2026-03-26
941,281,8029,2026-03-09
942,64,5499,2026-01-04
943,202,41280,2026-03-19
944,43,38007,2026-04-22
945,173,40614,2026-03-16
946,267,30493,2026-04-29
947,212,45699,2026-04-07
948,414,6320,2026-05-14
949,122,24837,2026-04-14
950,61,46424,2026-02-13
951,482,23718,2026-03-24
952,414,28191,2026-04-04
953,132,32235,2026-02-13
954,118,7193,2026-04-30
955,433,40725,2026-03-26
956,300,32072,2026-06-09
957,95,27386,2026-05-13
958,450,8286,2026-04-18
959,350,44200,2026-02-19
960,24,5800,2026-04-03
961,148,1562,2026-05-05
962,240,25795,2026-01-17
963,213,42139,2026-02-12
964,127,3406,2026-03-03
965,243,34485,2026-04-04
966,289,37843,2026-01-18
967,412,44324,2026-01-04
968,21,16550,2026-04-20
969,14,6555,2026-03-03
970,453,13150,2026-04-19
971,157,46851,2026-05-05
972,247,43930,2026-03-20
973,278,29195,2026-03-10
974,470,44464,2026-03-05
975,190,12764,2026-06-08
976,209,28587,2026-06-06
977,297,48177,2026-02-09
978,48,27963,2026-03-11
979,201,26206,2026-05-23
980,373,16302,2026-03-24
981,487,35400,2026-04-13
982,450,18008,2026-04-19
983,361,6894,2026-01-07
984,234,48368,2026-04-13
985,493,21984,2026-03-04
986,476,3516,2026-05-08
987,245,46646,2026-06-14
988,191,25336,2026-04-08
989,93,27807,2026-04-27
990,377,13917,2026-03-03
991,261,4158,2026-01-15
992,483,49104,2026-03-14
993,169,7914,2026-04-09
994,283,10802,2026-03-29
995,377,40501,2026-06-02
996,238,14635,2026-01-29
997,367,16125,2026-01-22
